"spoon.reflect.visitor.CtScanner#visitCtAnonymousExecutable(spoon.reflect.declaration.CtAnonymousExecutable)::1","spoon.reflect.visitor.CtScanner#visitCtAnonymousExecutable(spoon.reflect.declaration.CtAnonymousExecutable)::anonymousExec"
"spoon.reflect.visitor.CtScanner#visitCtAnonymousExecutable(spoon.reflect.declaration.CtAnonymousExecutable)::anonymousExec","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::anonymousExec"
"spoon.reflect.visitor.CtScanner#visitCtAnonymousExecutable(spoon.reflect.declaration.CtAnonymousExecutable)::anonymousExec","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::anonymousExec"
"spoon.reflect.visitor.CtScanner#visitCtArrayRead(spoon.reflect.code.CtArrayRead)::1","spoon.reflect.visitor.CtScanner#visitCtArrayRead(spoon.reflect.code.CtArrayRead)::arrayRead"
"spoon.reflect.visitor.CtScanner#visitCtArrayRead(spoon.reflect.code.CtArrayRead)::arrayRead","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::arrayRead"
"spoon.reflect.visitor.CtScanner#visitCtArrayRead(spoon.reflect.code.CtArrayRead)::arrayRead","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::arrayRead"
"spoon.reflect.visitor.CtScanner#visitCtArrayTypeReference(spoon.reflect.reference.CtArrayTypeReference)::1","spoon.reflect.visitor.CtScanner#visitCtArrayTypeReference(spoon.reflect.reference.CtArrayTypeReference)::reference"
"spoon.reflect.visitor.CtScanner#visitCtArrayTypeReference(spoon.reflect.reference.CtArrayTypeReference)::reference","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::reference"
"spoon.reflect.visitor.CtScanner#visitCtArrayTypeReference(spoon.reflect.reference.CtArrayTypeReference)::reference","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::reference"
"spoon.reflect.visitor.CtScanner#visitCtArrayWrite(spoon.reflect.code.CtArrayWrite)::1","spoon.reflect.visitor.CtScanner#visitCtArrayWrite(spoon.reflect.code.CtArrayWrite)::arrayWrite"
